# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
2731.00000000,DELIVERY19,DELIVERY22,0.00000000
2732.00000000,DELIVERY18,DELIVERY19,0.00000000
2732.00000000,DELIVERY18,DELIVERY22,0.00000000
2732.00000000,DELIVERY21,DELIVERY24,0.00000000
2732.00000000,DELIVERY19,DELIVERY22,0.00000000
2733.00000000,DELIVERY18,DELIVERY19,0.00000000
2733.00000000,DELIVERY18,DELIVERY22,0.00000000
2733.00000000,DELIVERY21,DELIVERY24,0.00000000
2733.00000000,DELIVERY19,DELIVERY22,0.00000000
2734.00000000,DELIVERY18,DELIVERY19,0.00000000
2734.00000000,DELIVERY18,DELIVERY22,0.00000000
2734.00000000,DELIVERY21,DELIVERY24,0.00000000
2734.00000000,DELIVERY19,DELIVERY22,0.00000000
2735.00000000,DELIVERY18,DELIVERY19,0.00000000
2735.00000000,DELIVERY18,DELIVERY22,0.00000000
2735.00000000,DELIVERY21,DELIVERY24,0.00000000
2735.00000000,DELIVERY19,DELIVERY22,0.00000000
2736.00000000,DELIVERY18,DELIVERY19,0.00000000
2736.00000000,DELIVERY18,DELIVERY22,0.00000000
2736.00000000,DELIVERY21,DELIVERY24,0.00000000
2736.00000000,DELIVERY19,DELIVERY22,0.00000000
2737.00000000,DELIVERY18,DELIVERY19,0.00000000
2737.00000000,DELIVERY18,DELIVERY22,0.00000000
2737.00000000,DELIVERY21,DELIVERY24,0.00000000
2737.00000000,DELIVERY19,DELIVERY22,0.00000000
2738.00000000,DELIVERY18,DELIVERY19,0.00000000
2738.00000000,DELIVERY18,DELIVERY22,0.00000000
2738.00000000,DELIVERY21,DELIVERY24,0.00000000
2738.00000000,DELIVERY19,DELIVERY22,0.00000000
2739.00000000,DELIVERY18,DELIVERY19,0.00000000
2739.00000000,DELIVERY18,DELIVERY22,0.00000000
2739.00000000,DELIVERY21,DELIVERY24,0.00000000
2739.00000000,DELIVERY19,DELIVERY22,0.00000000
2740.00000000,DELIVERY18,DELIVERY19,0.00000000
2740.00000000,DELIVERY18,DELIVERY22,0.00000000
2740.00000000,DELIVERY21,DELIVERY24,0.00000000
2740.00000000,DELIVERY19,DELIVERY22,0.00000000
2741.00000000,DELIVERY18,DELIVERY19,0.00000000
2741.00000000,DELIVERY18,DELIVERY22,0.00000000
2741.00000000,DELIVERY21,DELIVERY24,0.00000000
