# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
1453.00000000,BACKGROUND112,BACKGROUND135,1.03388346
1454.00000000,BACKGROUND112,BACKGROUND135,1.03388394
1455.00000000,BACKGROUND112,BACKGROUND135,1.03388442
1456.00000000,BACKGROUND112,BACKGROUND135,1.03388490
1457.00000000,BACKGROUND112,BACKGROUND135,1.03388538
1458.00000000,BACKGROUND112,BACKGROUND135,1.03388587
1459.00000000,BACKGROUND112,BACKGROUND135,1.03388636
1460.00000000,BACKGROUND112,BACKGROUND135,1.03388685
1461.00000000,BACKGROUND112,BACKGROUND135,1.03388735
1462.00000000,BACKGROUND112,BACKGROUND135,1.03388785
1463.00000000,BACKGROUND112,BACKGROUND135,1.03388835
1464.00000000,BACKGROUND112,BACKGROUND135,1.03388885
1465.00000000,BACKGROUND112,BACKGROUND135,1.03388936
1466.00000000,BACKGROUND112,BACKGROUND135,1.03388987
1467.00000000,BACKGROUND112,BACKGROUND135,1.03389039
1468.00000000,BACKGROUND112,BACKGROUND135,1.03389090
1469.00000000,BACKGROUND112,BACKGROUND135,1.03389142
1470.00000000,BACKGROUND112,BACKGROUND135,1.03389195
1471.00000000,BACKGROUND112,BACKGROUND135,1.03389247
1472.00000000,BACKGROUND112,BACKGROUND135,1.03389300
1473.00000000,BACKGROUND112,BACKGROUND135,1.03389354
1474.00000000,BACKGROUND112,BACKGROUND135,1.03389407
1475.00000000,BACKGROUND112,BACKGROUND135,1.03389461
1476.00000000,BACKGROUND112,BACKGROUND135,1.03389515
1477.00000000,BACKGROUND112,BACKGROUND135,1.03389570
1478.00000000,BACKGROUND112,BACKGROUND135,1.03389624
1479.00000000,BACKGROUND112,BACKGROUND135,1.03389680
1480.00000000,BACKGROUND112,BACKGROUND135,1.03389735
1481.00000000,BACKGROUND112,BACKGROUND135,1.03389791
1482.00000000,BACKGROUND112,BACKGROUND135,1.03389847
1483.00000000,BACKGROUND112,BACKGROUND135,1.03389903
1484.00000000,BACKGROUND112,BACKGROUND135,1.03389960
1485.00000000,BACKGROUND112,BACKGROUND135,1.03390016
1486.00000000,BACKGROUND112,BACKGROUND135,1.03390074
1487.00000000,BACKGROUND112,BACKGROUND135,1.03390131
1488.00000000,BACKGROUND112,BACKGROUND135,1.03390189
1489.00000000,BACKGROUND112,BACKGROUND135,1.03390247
1490.00000000,BACKGROUND112,BACKGROUND135,1.03390306
1491.00000000,BACKGROUND112,BACKGROUND135,1.03390364
1492.00000000,BACKGROUND112,BACKGROUND135,1.03390423
1493.00000000,BACKGROUND112,BACKGROUND135,1.03390483
1494.00000000,BACKGROUND112,BACKGROUND135,1.03390542
1495.00000000,BACKGROUND112,BACKGROUND135,1.03390602
1496.00000000,BACKGROUND112,BACKGROUND135,1.03390663
1497.00000000,BACKGROUND112,BACKGROUND135,1.03390723
1498.00000000,BACKGROUND112,BACKGROUND135,1.03390784
1499.00000000,BACKGROUND112,BACKGROUND135,1.03390845
1500.00000000,BACKGROUND112,BACKGROUND135,1.03390907
1501.00000000,BACKGROUND112,BACKGROUND135,1.03390969
1502.00000000,BACKGROUND112,BACKGROUND135,1.03391031
1503.00000000,BACKGROUND112,BACKGROUND135,1.03391093
1504.00000000,BACKGROUND112,BACKGROUND135,1.03391156
1505.00000000,BACKGROUND112,BACKGROUND135,1.03391219
1506.00000000,BACKGROUND112,BACKGROUND135,1.03391282
1507.00000000,BACKGROUND112,BACKGROUND135,1.03391346
1508.00000000,BACKGROUND112,BACKGROUND135,1.03391410
1509.00000000,BACKGROUND112,BACKGROUND135,1.03391474
1510.00000000,BACKGROUND112,BACKGROUND135,1.03391538
1511.00000000,BACKGROUND112,BACKGROUND135,1.03391603
1512.00000000,BACKGROUND112,BACKGROUND135,1.03391668
1513.00000000,BACKGROUND112,BACKGROUND135,1.03391734
1514.00000000,BACKGROUND112,BACKGROUND135,1.03391800
1515.00000000,BACKGROUND112,BACKGROUND135,1.03391866
1516.00000000,BACKGROUND112,BACKGROUND135,1.03391932
1517.00000000,BACKGROUND112,BACKGROUND135,1.03391999
1518.00000000,BACKGROUND112,BACKGROUND135,1.03392066
1519.00000000,BACKGROUND112,BACKGROUND135,1.03392133
1520.00000000,BACKGROUND112,BACKGROUND135,1.03392201
1521.00000000,BACKGROUND112,BACKGROUND135,1.03392268
1522.00000000,BACKGROUND112,BACKGROUND135,1.03392337
1523.00000000,BACKGROUND112,BACKGROUND135,1.03392405
1524.00000000,BACKGROUND112,BACKGROUND135,1.03392474
1525.00000000,BACKGROUND112,BACKGROUND135,1.03392543
1526.00000000,BACKGROUND112,BACKGROUND135,1.03392612
1527.00000000,BACKGROUND112,BACKGROUND135,1.03392682
1528.00000000,BACKGROUND112,BACKGROUND135,1.03392752
1529.00000000,BACKGROUND112,BACKGROUND135,1.03392823
1530.00000000,BACKGROUND112,BACKGROUND135,1.03392893
1531.00000000,BACKGROUND112,BACKGROUND135,1.03392964
1532.00000000,BACKGROUND112,BACKGROUND135,1.03393035
1533.00000000,BACKGROUND112,BACKGROUND135,1.03393107
1534.00000000,BACKGROUND112,BACKGROUND135,1.03393179
1535.00000000,BACKGROUND112,BACKGROUND135,1.03393251
1536.00000000,BACKGROUND112,BACKGROUND135,1.03393323
1537.00000000,BACKGROUND112,BACKGROUND135,1.03393396
1538.00000000,BACKGROUND112,BACKGROUND135,1.03393469
1539.00000000,BACKGROUND112,BACKGROUND135,1.03393543
1540.00000000,BACKGROUND112,BACKGROUND135,1.03393616
1541.00000000,BACKGROUND112,BACKGROUND135,1.03393690
1542.00000000,BACKGROUND112,BACKGROUND135,1.03393765
1543.00000000,BACKGROUND112,BACKGROUND135,1.03393839
1544.00000000,BACKGROUND112,BACKGROUND135,1.03393914
1545.00000000,BACKGROUND112,BACKGROUND135,1.03393989
1546.00000000,BACKGROUND112,BACKGROUND135,1.03394065
1547.00000000,BACKGROUND112,BACKGROUND135,1.03394141
1548.00000000,BACKGROUND112,BACKGROUND135,1.03394217
1549.00000000,BACKGROUND112,BACKGROUND135,1.03394293
1550.00000000,BACKGROUND112,BACKGROUND135,1.03394370
1551.00000000,BACKGROUND112,BACKGROUND135,1.03394447
1552.00000000,BACKGROUND112,BACKGROUND135,1.03394525
1553.00000000,BACKGROUND112,BACKGROUND135,1.03394602
1554.00000000,BACKGROUND112,BACKGROUND135,1.03394680
1555.00000000,BACKGROUND112,BACKGROUND135,1.03394758
1556.00000000,BACKGROUND112,BACKGROUND135,1.03394837
1557.00000000,BACKGROUND112,BACKGROUND135,1.03394916
1558.00000000,BACKGROUND112,BACKGROUND135,1.03394995
1559.00000000,BACKGROUND112,BACKGROUND135,1.03395075
1560.00000000,BACKGROUND112,BACKGROUND135,1.03395154
1561.00000000,BACKGROUND112,BACKGROUND135,1.03395234
1562.00000000,BACKGROUND112,BACKGROUND135,1.03395315
1563.00000000,BACKGROUND112,BACKGROUND135,1.03395396
1564.00000000,BACKGROUND112,BACKGROUND135,1.03395477
1565.00000000,BACKGROUND112,BACKGROUND135,1.03395558
1566.00000000,BACKGROUND112,BACKGROUND135,1.03395640
1567.00000000,BACKGROUND112,BACKGROUND135,1.03395722
1568.00000000,BACKGROUND112,BACKGROUND135,1.03395804
1569.00000000,BACKGROUND112,BACKGROUND135,1.03395886
1570.00000000,BACKGROUND112,BACKGROUND135,1.03395969
1571.00000000,BACKGROUND112,BACKGROUND135,1.03396052
1572.00000000,BACKGROUND112,BACKGROUND135,1.03396136
1573.00000000,BACKGROUND112,BACKGROUND135,1.03396220
1573.00000000,BACKGROUND151,BACKGROUND180,8.77607824
1574.00000000,BACKGROUND112,BACKGROUND135,1.03396304
1575.00000000,BACKGROUND112,BACKGROUND135,1.03396388
1576.00000000,BACKGROUND112,BACKGROUND135,1.03396473
1577.00000000,BACKGROUND112,BACKGROUND135,1.03396558
1578.00000000,BACKGROUND112,BACKGROUND135,1.03396643
1579.00000000,BACKGROUND112,BACKGROUND135,1.03396729
1580.00000000,BACKGROUND112,BACKGROUND135,1.03396815
1581.00000000,BACKGROUND112,BACKGROUND135,1.03396901
1582.00000000,BACKGROUND112,BACKGROUND135,1.03396987
1583.00000000,BACKGROUND112,BACKGROUND135,1.03397074
1584.00000000,BACKGROUND112,BACKGROUND135,1.03397161
1585.00000000,BACKGROUND112,BACKGROUND135,1.03397249
1586.00000000,BACKGROUND112,BACKGROUND135,1.03397336
1587.00000000,BACKGROUND112,BACKGROUND135,1.03397424
1588.00000000,BACKGROUND112,BACKGROUND135,1.03397513
1589.00000000,BACKGROUND112,BACKGROUND135,1.03397601
1590.00000000,BACKGROUND112,BACKGROUND135,1.03397690
1591.00000000,BACKGROUND112,BACKGROUND135,1.03397780
1592.00000000,BACKGROUND112,BACKGROUND135,1.03397869
1593.00000000,BACKGROUND112,BACKGROUND135,1.03397959
1594.00000000,BACKGROUND112,BACKGROUND135,1.03398049
1594.00000000,BACKGROUND105,BACKGROUND163,0.00011848
1595.00000000,BACKGROUND112,BACKGROUND135,1.03398140
1596.00000000,BACKGROUND112,BACKGROUND135,1.03398231
1597.00000000,BACKGROUND112,BACKGROUND135,1.03398322
1598.00000000,BACKGROUND112,BACKGROUND135,1.03398413
1599.00000000,BACKGROUND112,BACKGROUND135,1.03398505
1600.00000000,BACKGROUND112,BACKGROUND135,1.03398597
1601.00000000,BACKGROUND112,BACKGROUND135,1.03398689
1602.00000000,BACKGROUND112,BACKGROUND135,1.03398782
1603.00000000,BACKGROUND112,BACKGROUND135,1.03398875
1604.00000000,BACKGROUND112,BACKGROUND135,1.03398968
1605.00000000,BACKGROUND112,BACKGROUND135,1.03399062
1606.00000000,BACKGROUND112,BACKGROUND135,1.03399156
1607.00000000,BACKGROUND112,BACKGROUND135,1.03399250
1608.00000000,BACKGROUND112,BACKGROUND135,1.03399344
1609.00000000,BACKGROUND112,BACKGROUND135,1.03399439
1610.00000000,BACKGROUND112,BACKGROUND135,1.03399534
1611.00000000,BACKGROUND112,BACKGROUND135,1.03399629
1612.00000000,BACKGROUND112,BACKGROUND135,1.03399725
1613.00000000,BACKGROUND112,BACKGROUND135,1.03399821
1614.00000000,BACKGROUND112,BACKGROUND135,1.03399917
1615.00000000,BACKGROUND112,BACKGROUND135,1.03400014
1616.00000000,BACKGROUND112,BACKGROUND135,1.03400111
1617.00000000,BACKGROUND112,BACKGROUND135,1.03400208
1618.00000000,BACKGROUND112,BACKGROUND135,1.03400306
1619.00000000,BACKGROUND112,BACKGROUND135,1.03400403
1620.00000000,BACKGROUND112,BACKGROUND135,1.03400502
1621.00000000,BACKGROUND112,BACKGROUND135,1.03400600
1622.00000000,BACKGROUND112,BACKGROUND135,1.03400699
1652.00000000,BACKGROUND124,BACKGROUND206,2.40794671
1672.00000000,BACKGROUND175,BACKGROUND202,16.98365955
1687.00000000,BACKGROUND140,BACKGROUND199,0.09364970
1702.00000000,BACKGROUND118,BACKGROUND97,3.95063671
1714.00000000,BACKGROUND118,BACKGROUND97,19.25725601
1756.00000000,BACKGROUND105,BACKGROUND179,7.39497735
1756.00000000,BACKGROUND141,BACKGROUND149,14.70557245
1761.00000000,BACKGROUND173,BACKGROUND185,0.79547140
1790.00000000,BACKGROUND105,BACKGROUND217,35.10145487
