# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
1666.00000000,DELIVERY10,DELIVERY8,0.00000000
1667.00000000,DELIVERY10,DELIVERY8,0.00000000
1668.00000000,DELIVERY10,DELIVERY8,0.00000000
1669.00000000,DELIVERY10,DELIVERY8,0.00000000
1670.00000000,DELIVERY10,DELIVERY8,0.00000000
1671.00000000,DELIVERY10,DELIVERY8,0.00000000
1672.00000000,DELIVERY10,DELIVERY8,0.00000000
1673.00000000,DELIVERY10,DELIVERY8,0.00000000
1674.00000000,DELIVERY10,DELIVERY8,0.00000000
1675.00000000,DELIVERY10,DELIVERY8,0.00000000
1676.00000000,DELIVERY10,DELIVERY8,0.00000000
1677.00000000,DELIVERY10,DELIVERY8,0.00000000
1678.00000000,DELIVERY10,DELIVERY8,0.00000000
1679.00000000,DELIVERY10,DELIVERY8,0.00000000
1680.00000000,DELIVERY10,DELIVERY8,0.00000000
1681.00000000,DELIVERY10,DELIVERY8,0.00000000
1682.00000000,DELIVERY10,DELIVERY8,0.00000000
1683.00000000,DELIVERY10,DELIVERY8,0.00000000
1684.00000000,DELIVERY10,DELIVERY8,0.00000000
1685.00000000,DELIVERY10,DELIVERY8,0.00000000
1686.00000000,DELIVERY10,DELIVERY8,0.00000000
1687.00000000,DELIVERY10,DELIVERY8,0.00000000
1688.00000000,DELIVERY10,DELIVERY8,0.00000000
1689.00000000,DELIVERY10,DELIVERY8,0.00000000
1690.00000000,DELIVERY10,DELIVERY8,0.00000000
1691.00000000,DELIVERY10,DELIVERY8,0.00000000
1692.00000000,DELIVERY10,DELIVERY8,0.00000000
1693.00000000,DELIVERY10,DELIVERY8,0.00000000
1694.00000000,DELIVERY10,DELIVERY8,0.00000000
1695.00000000,DELIVERY10,DELIVERY8,0.00000000
1696.00000000,DELIVERY10,DELIVERY8,0.00000000
1697.00000000,DELIVERY10,DELIVERY8,0.00000000
1698.00000000,DELIVERY10,DELIVERY8,0.00000000
1699.00000000,DELIVERY10,DELIVERY8,0.00000000
1700.00000000,DELIVERY10,DELIVERY8,0.00000000
