# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
3420.00000000,DELIVERY26,DELIVERY28,0.00000000
3421.00000000,DELIVERY26,DELIVERY28,0.00000000
3422.00000000,DELIVERY26,DELIVERY28,0.00000000
3423.00000000,DELIVERY26,DELIVERY28,0.00000000
3424.00000000,DELIVERY26,DELIVERY28,0.00000000
3425.00000000,DELIVERY26,DELIVERY28,0.00000000
3426.00000000,DELIVERY26,DELIVERY28,0.00000000
3427.00000000,DELIVERY26,DELIVERY28,0.00000000
3428.00000000,DELIVERY26,DELIVERY28,0.00000000
3429.00000000,DELIVERY26,DELIVERY28,0.00000000
3430.00000000,DELIVERY26,DELIVERY28,0.00000000
3431.00000000,DELIVERY26,DELIVERY28,0.00000000
3432.00000000,DELIVERY26,DELIVERY28,0.00000000
3433.00000000,DELIVERY26,DELIVERY28,0.00000000
3434.00000000,DELIVERY26,DELIVERY28,0.00000000
3435.00000000,DELIVERY26,DELIVERY28,0.00000000
3436.00000000,DELIVERY26,DELIVERY28,0.00000000
3437.00000000,DELIVERY26,DELIVERY28,0.00000000
3438.00000000,DELIVERY26,DELIVERY28,0.00000000
3439.00000000,DELIVERY26,DELIVERY28,0.00000000
3440.00000000,DELIVERY26,DELIVERY28,0.00000000
3441.00000000,DELIVERY26,DELIVERY28,0.00000000
3442.00000000,DELIVERY26,DELIVERY28,0.00000000
3443.00000000,DELIVERY26,DELIVERY28,0.00000000
3444.00000000,DELIVERY26,DELIVERY28,0.00000000
3445.00000000,DELIVERY26,DELIVERY28,0.00000000
3446.00000000,DELIVERY26,DELIVERY28,0.00000000
3447.00000000,DELIVERY26,DELIVERY28,0.00000000
3448.00000000,DELIVERY26,DELIVERY28,0.00000000
3449.00000000,DELIVERY26,DELIVERY28,0.00000000
3450.00000000,DELIVERY26,DELIVERY28,0.00000000
3451.00000000,DELIVERY26,DELIVERY28,0.00000000
3452.00000000,DELIVERY26,DELIVERY28,0.00000000
3453.00000000,DELIVERY26,DELIVERY28,0.00000000
3454.00000000,DELIVERY26,DELIVERY28,0.00000000
3455.00000000,DELIVERY26,DELIVERY28,0.00000000
3456.00000000,DELIVERY26,DELIVERY28,0.00000000
3457.00000000,DELIVERY26,DELIVERY28,0.00000000
3458.00000000,DELIVERY26,DELIVERY28,0.00000000
3459.00000000,DELIVERY26,DELIVERY28,0.00000000
3460.00000000,DELIVERY26,DELIVERY28,0.00000000
3461.00000000,DELIVERY26,DELIVERY28,0.00000000
3462.00000000,DELIVERY26,DELIVERY28,0.00000000
