# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
1528.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1529.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1530.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1531.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1532.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1533.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1534.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1535.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1536.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1537.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1538.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1539.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1540.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1540.00000000,BACKGROUND119,BACKGROUND77,0.33939888
1541.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1542.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1543.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1544.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1545.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1545.00000000,BACKGROUND119,BACKGROUND57,0.31549898
1546.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1547.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1548.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1549.00000000,BACKGROUND57,BACKGROUND77,26.47153697
1555.00000000,BACKGROUND57,BACKGROUND77,16.57853036
1632.00000000,BACKGROUND102,BACKGROUND118,0.00945773
1633.00000000,BACKGROUND102,BACKGROUND118,0.00945761
